,country,series,diff_level,stationary,p_value
56,france,gdp_quarterly,1,1,0.00031540826056121555
57,france,co2_quarterly_cap,0,0,0.9262797715689551
58,france,co2_quarterly_cap,1,1,0.001286124941358011
59,france,gdp_quarterly_cap,0,0,0.9870332587309301
60,france,gdp_quarterly_cap,1,1,0.0003194427190534357
61,germany,co2_quarterly,0,0,0.9836193699073137
62,germany,co2_quarterly,1,0,0.6163803640212477
63,germany,co2_quarterly,2,0,0.654460502232865
64,germany,pop_quarterly,0,0,0.26170245292725114
65,germany,pop_quarterly,1,0,0.6123541237757232
66,germany,pop_quarterly,2,0,0.6445929146462301
67,germany,gdp_quarterly,0,0,0.9815719398282862
68,germany,gdp_quarterly,1,1,1.3272559332143098e-08
69,germany,co2_quarterly_cap,0,0,0.9971439100594208
70,germany,co2_quarterly_cap,1,0,0.7320229124482689
71,germany,co2_quarterly_cap,2,0,0.7615174687973789
72,germany,gdp_quarterly_cap,0,0,0.963189928196225
73,germany,gdp_quarterly_cap,1,1,7.672242204648108e-09
74,greece,co2_quarterly,0,0,0.9945701462668189
75,greece,co2_quarterly,1,1,6.91021938919828e-05
76,greece,pop_quarterly,0,0,0.4046357029293006
77,greece,pop_quarterly,1,0,0.40702167642937637
78,greece,pop_quarterly,2,0,0.4643601375025014
79,greece,gdp_quarterly,0,0,0.1714076253767366
80,greece,gdp_quarterly,1,1,0.0056343254900599075
81,greece,co2_quarterly_cap,0,0,0.9937547791589941
82,greece,co2_quarterly_cap,1,1,2.9047149432624316e-05
83,greece,gdp_quarterly_cap,0,0,0.2271122500172813
84,greece,gdp_quarterly_cap,1,1,0.004560458675333129
85,hungary,co2_quarterly,0,0,0.571229569426376
86,hungary,co2_quarterly,1,1,1.4731198277614258e-06
87,hungary,pop_quarterly,0,0,0.7854123728900324
88,hungary,pop_quarterly,1,1,0.06263707215882873
89,hungary,gdp_quarterly,0,0,0.6224103878105529
90,hungary,gdp_quarterly,1,1,1.2838911197983872e-07
91,hungary,co2_quarterly_cap,0,0,0.4463511739424133
92,hungary,co2_quarterly_cap,1,1,1.362785554678998e-06
93,hungary,gdp_quarterly_cap,0,0,0.6190173334190678
94,hungary,gdp_quarterly_cap,1,1,1.1573477099768494e-07
95,iceland,co2_quarterly,0,0,0.4488156464657148
96,iceland,co2_quarterly,1,0,0.19477608314955458
97,iceland,co2_quarterly,2,0,0.18840964386619585
98,iceland,pop_quarterly,0,0,0.9842312330806986
99,iceland,pop_quarterly,1,1,0.07766393789179424
100,iceland,gdp_quarterly,0,0,0.9395510578370557
101,iceland,gdp_quarterly,1,1,0.01036839287228112
102,iceland,co2_quarterly_cap,0,0,0.8755907632429429
103,iceland,co2_quarterly_cap,1,0,0.2218643359705253
104,iceland,co2_quarterly_cap,2,0,0.21533655637301058
105,iceland,gdp_quarterly_cap,0,0,0.9036816717373526
106,iceland,gdp_quarterly_cap,1,1,0.0028235619108237272
107,ireland,co2_quarterly,0,0,0.5194586850329802
108,ireland,co2_quarterly,1,0,0.6115015447163036
109,ireland,co2_quarterly,2,0,0.6066378984951035
110,ireland,pop_quarterly,0,0,0.35065058744252164
111,ireland,pop_quarterly,1,0,0.5320097739446226
112,ireland,pop_quarterly,2,0,0.1621603859943267
113,ireland,gdp_quarterly,0,0,0.9718458829316529
114,ireland,gdp_quarterly,1,1,6.585387305404425e-15
115,ireland,co2_quarterly_cap,0,0,0.8368586934192652
116,ireland,co2_quarterly_cap,1,0,0.6007953320789405
117,ireland,co2_quarterly_cap,2,0,0.5964504093337729
118,ireland,gdp_quarterly_cap,0,0,0.9794310707172976
119,ireland,gdp_quarterly_cap,1,1,7.182727571573588e-15
120,italy,co2_quarterly,0,0,0.927399833854224
121,italy,co2_quarterly,1,1,0.07855864466851015
122,italy,pop_quarterly,0,1,0.02371899935762078
123,italy,gdp_quarterly,0,0,0.9658863717822832
124,italy,gdp_quarterly,1,1,0.00016517999556356204
125,italy,co2_quarterly_cap,0,0,0.9191779368242587
126,italy,co2_quarterly_cap,1,1,0.07225875901495107
127,italy,gdp_quarterly_cap,0,0,0.9833355503765198
128,italy,gdp_quarterly_cap,1,1,0.0002470562197137136
129,lithuania,co2_quarterly,0,0,0.3177812555710453
130,lithuania,co2_quarterly,1,1,0.0005718701899883378
131,lithuania,pop_quarterly,0,0,0.4560661439329602
132,lithuania,pop_quarterly,1,0,0.45954524571163646
133,lithuania,pop_quarterly,2,0,0.44941018468969485
134,lithuania,gdp_quarterly,0,0,0.5660179182331919
135,lithuania,gdp_quarterly,1,1,5.837250810341444e-07
136,lithuania,co2_quarterly_cap,0,0,0.4684252001311407
137,lithuania,co2_quarterly_cap,1,1,0.00047267465647879637
138,lithuania,gdp_quarterly_cap,0,0,0.58255484610542
139,lithuania,gdp_quarterly_cap,1,1,5.77010703812678e-07
140,netherlands,co2_quarterly,0,0,0.5896056055838037
141,netherlands,co2_quarterly,1,0,0.2987679020081536
142,netherlands,co2_quarterly,2,0,0.17196982596554222
143,netherlands,pop_quarterly,0,0,0.999016633377624
144,netherlands,pop_quarterly,1,1,0.02518330604119798
145,netherlands,gdp_quarterly,0,0,0.9505391373750834
146,netherlands,gdp_quarterly,1,1,0.00012707484899659324
147,netherlands,co2_quarterly_cap,0,0,0.964203053552099
148,netherlands,co2_quarterly_cap,1,0,0.3429681028676388
149,netherlands,co2_quarterly_cap,2,0,0.2148239888230375
150,netherlands,gdp_quarterly_cap,0,0,0.9378856206453534
151,netherlands,gdp_quarterly_cap,1,1,0.00015142938269814882
152,portugal,co2_quarterly,0,0,0.7584082381662769
153,portugal,co2_quarterly,1,1,0.0025550031199300877
154,portugal,pop_quarterly,0,0,0.5533966548699635
155,portugal,pop_quarterly,1,0,0.3150585537069434
156,portugal,pop_quarterly,2,0,0.6925792406216311
157,portugal,gdp_quarterly,0,0,0.9394154303333919
158,portugal,gdp_quarterly,1,1,2.912158542106498e-05
159,portugal,co2_quarterly_cap,0,0,0.6431042056641842
160,portugal,co2_quarterly_cap,1,1,0.0037580572623733444
161,portugal,gdp_quarterly_cap,0,0,0.9746730618610469
162,portugal,gdp_quarterly_cap,1,1,1.8891833292023338e-05
163,romania,co2_quarterly,0,0,0.5803864018619621
164,romania,co2_quarterly,1,1,0.00013814074592846407
165,romania,pop_quarterly,0,0,0.15537423716852244
166,romania,pop_quarterly,1,1,0.0007640447085563382
167,romania,gdp_quarterly,0,0,0.7703381982758952
168,romania,gdp_quarterly,1,1,2.96660143976215e-06
169,romania,co2_quarterly_cap,0,1,0.09540886029519918
170,romania,gdp_quarterly_cap,0,0,0.7275433727463012
171,romania,gdp_quarterly_cap,1,1,4.349515424975647e-06
172,slovakia,co2_quarterly,0,0,0.4120439956235231
173,slovakia,co2_quarterly,1,0,0.16797219504045569
174,slovakia,co2_quarterly,2,0,0.1636013560676749
175,slovakia,pop_quarterly,0,0,0.9525754021444724
176,slovakia,pop_quarterly,1,1,1.384779570594355e-14
177,slovakia,gdp_quarterly,0,1,0.045512218735443095
178,slovakia,co2_quarterly_cap,0,0,0.47020305584546906
179,slovakia,co2_quarterly_cap,1,0,0.15014371393564163
180,slovakia,co2_quarterly_cap,2,0,0.14592326013813162
181,slovakia,gdp_quarterly_cap,0,1,0.03569972795135687
182,spain,co2_quarterly,0,0,0.8446029377670548
183,spain,co2_quarterly,1,1,0.0005348646482479708
184,spain,pop_quarterly,0,1,0.011431927201454134
185,spain,gdp_quarterly,0,0,0.5881774323803597
186,spain,gdp_quarterly,1,1,0.04038535467273951
187,spain,co2_quarterly_cap,0,0,0.9080647760920022
188,spain,co2_quarterly_cap,1,1,0.000367552654460534
189,spain,gdp_quarterly_cap,0,0,0.7422315254501682
190,spain,gdp_quarterly_cap,1,1,0.01860001239031345
191,switzerland,co2_quarterly,0,0,0.9760160870220758
192,switzerland,co2_quarterly,1,1,0.0333460784921347
193,switzerland,pop_quarterly,0,0,0.9561150930172656
194,switzerland,pop_quarterly,1,0,0.11890940555283663
195,switzerland,pop_quarterly,2,1,0.08247836359147198
196,switzerland,gdp_quarterly,0,0,0.8536591264100533
197,switzerland,gdp_quarterly,1,1,0.0004358022444713018
198,switzerland,co2_quarterly_cap,0,0,0.9937882816409033
199,switzerland,co2_quarterly_cap,1,1,0.05487437667630317
200,switzerland,gdp_quarterly_cap,0,0,0.806818229262019
201,switzerland,gdp_quarterly_cap,1,1,0.0005220118521671165
